ID	mu	sigma
0	56.119	4.057
2	64.772	3.636
4	69.522	3.691
6	70.277	3.688
8	61.786	3.611
10	69.04	3.459
11	63.647	4.441
12	68.504	3.588
13	0	0
14	70.328	3.528
15	59.361	3.77
16	65.933	3.705
17	60.957	3.578
18	59.533	3.715
19	62.11	3.791
21	58.921	4.58
29	64.711	3.969
30	61.783	3.949
31	66.64	4.042
32	65.546	3.883
33	59.689	4.113
34	65.638	4.214
35	57.754	4.008
36	64.557	4.019
52	59.998	3.773
54	58.622	3.735
55	61.526	3.714
56	59.588	3.584
57	62.068	3.644
58	59.257	4.277
59	62.567	3.846
61	57.786	3.706
64	71.998	3.731
65	71.161	3.628
66	70.753	3.658
67	71.175	3.574
69	66.274	3.873
74	51.106	3.858
75	51.864	3.691
77	49.319	3.383
80	46.929	3.901
81	44.694	3.623
82	48.745	3.964
83	49.702	4.014
84	51.911	4.002
85	48.749	4.026
86	51.251	3.783
87	47.554	3.328
88	47.423	3.877
89	50.801	3.513
90	48.191	3.805
91	39.684	3.507
92	50.32	3.896
101	52.951	4.465
102	55.724	4.056
103	58.952	3.959
104	58.773	3.861
105	60.878	4.59
106	60.684	4.511
107	56.299	4.342
108	49.016	4.364
112	68.567	3.691
113	67.091	3.85
114	68.374	3.675
128	85.73	4.862
129	86.469	4.804
130	85.345	4.865
131	84.19	4.669
133	80.987	4.567
138	64.911	3.902
139	60.491	3.971
141	64.884	4.111
144	51.628	4.162
145	67.132	3.628
146	67.39	3.627
147	65.381	3.743
148	63.544	3.815
149	57.922	3.953
150	66.113	3.864
151	62.714	3.965
152	66.879	3.602
153	65.832	3.909
154	63.654	3.867
155	65.586	3.674
156	59.602	3.779
165	47.864	3.76
166	52.172	3.908
167	50.72	3.823
168	47.824	3.534
169	51.932	4.098
170	51.729	4.034
171	43.924	4.45
172	42.081	3.463
176	86.362	4.874
177	73.323	4.874
178	84.009	4.95
192	54.95	3.951
194	65.0	3.713
196	67.093	3.672
198	67.141	3.676
200	51.326	3.731
202	66.361	3.946
203	65.136	3.556
204	66.912	3.769
205	0	0
206	66.752	3.557
207	59.9	4.049
208	54.276	3.921
209	59.832	3.902
210	60.486	4.079
211	59.251	3.923
213	53.872	4.061
221	64.09	3.814
222	59.508	3.886
223	63.716	3.624
224	66.261	3.676
225	66.353	3.806
226	65.751	3.775
227	62.263	3.784
228	66.989	3.843
244	53.135	3.618
246	56.328	4.447
247	54.641	3.767
248	63.705	4.431
249	61.105	4.039
250	61.989	4.163
251	56.975	4.313
253	57.693	4.035
256	62.222	4.051
258	48.891	3.49
260	51.704	3.693
262	53.654	3.679
264	68.56	4.213
266	53.221	3.626
267	48.716	3.813
268	53.215	3.813
269	53.841	3.606
270	53.276	3.588
271	66.76	3.931
272	67.228	4.064
273	63.66	4.152
274	64.249	4.128
275	60.526	3.986
277	55.999	3.843
285	64.278	4.455
286	55.904	4.006
287	62.584	3.612
288	66.359	3.921
289	61.106	3.571
290	60.153	4.212
291	56.884	3.731
292	60.085	3.782
308	53.98	4.262
310	64.847	3.702
311	64.174	3.627
312	64.291	3.676
313	64.953	3.618
314	59.653	3.592
315	63.064	3.722
317	54.945	3.777
320	64.098	4.192
321	62.954	3.953
322	62.168	3.987
323	61.502	4.052
325	53.695	3.908
330	51.557	4.115
331	52.857	4.084
333	44.89	3.671
336	46.222	3.58
337	52.751	3.398
338	55.118	3.395
339	53.683	3.533
340	54.493	3.479
341	43.553	3.65
342	53.284	3.517
343	49.122	3.784
344	51.274	3.233
345	48.654	3.759
346	52.555	3.916
347	43.788	3.792
348	46.615	3.954
357	66.437	3.952
358	59.953	4.19
359	63.192	4.447
360	73.435	4.423
361	69.928	4.149
362	58.639	4.379
363	57.021	4.151
364	70.165	4.284
368	62.004	3.854
369	61.464	3.978
370	64.568	3.89
384	57.403	3.313
385	54.023	3.685
386	56.547	3.264
387	56.307	3.062
389	54.412	3.472
394	68.832	3.808
395	65.722	4.028
397	68.479	3.96
400	52.139	3.776
401	59.221	3.453
402	58.925	3.311
403	58.588	3.466
404	58.351	3.559
405	65.033	4.106
406	58.874	3.456
407	69.123	4.058
408	56.754	3.37
409	67.253	3.786
410	67.384	3.822
411	55.938	3.585
412	59.993	3.989
421	49.803	3.697
422	55.881	3.771
423	51.325	3.49
424	53.533	3.367
425	53.345	3.354
426	53.672	3.668
427	51.776	3.582
428	45.371	3.609
432	57.723	3.207
433	49.919	3.862
434	57.485	3.206
448	40.072	2.871
450	23.426	2.097
452	25.658	2.393
454	23.546	2.485
456	39.687	2.659
458	26.437	2.081
459	24.893	2.515
460	25.262	1.967
461	26.952	2.069
462	23.628	2.089
463	41.635	2.598
464	41.598	2.651
465	41.615	2.829
466	42.07	2.693
467	41.267	2.919
469	36.781	2.625
477	36.644	2.639
478	35.773	2.547
479	38.783	2.758
480	39.126	2.764
481	37.104	2.809
482	38.012	2.508
483	33.474	2.727
484	37.477	2.82
500	31.6	2.861
502	36.155	2.721
503	35.859	2.87
504	37.043	2.588
505	35.761	2.572
506	34.541	2.745
507	35.394	2.584
509	29.228	2.625
512	57.605	3.867
514	63.01	4.343
516	67.831	4.052
518	69.011	3.851
520	58.823	3.551
522	67.762	3.868
523	56.338	4.007
524	66.477	4.086
525	62.333	4.175
526	68.183	3.681
527	63.347	3.775
528	60.522	3.761
529	63.709	3.908
530	63.913	3.698
531	63.616	4.126
533	56.782	3.74
541	51.069	3.934
542	45.625	4.024
543	57.192	3.918
544	51.876	3.787
545	57.497	3.814
546	57.698	3.944
547	49.882	3.645
548	55.525	3.953
564	61.854	4.054
566	66.34	3.653
567	63.674	3.695
568	66.156	3.498
569	63.436	3.767
570	63.377	4.014
571	66.394	3.954
573	60.283	3.916
576	80.926	6.26
577	81.86	5.254
578	81.077	6.154
579	82.515	6.607
581	75.524	5.54
586	67.243	4.069
587	64.187	4.017
589	68.812	3.828
592	50.509	3.674
593	55.984	3.727
594	55.062	3.559
595	55.734	3.532
596	54.045	3.406
597	66.595	4.461
598	55.121	3.65
599	69.1	3.806
600	54.975	3.471
601	67.528	4.376
602	66.953	4.13
603	52.788	3.605
604	59.284	4.186
613	53.749	3.624
614	56.705	3.405
615	57.325	3.323
616	59.067	3.402
617	59.39	3.32
618	58.707	3.207
619	57.975	3.382
620	54.263	3.302
624	80.863	5.183
625	75.419	4.746
626	78.521	5.198
640	67.862	3.916
641	68.313	3.894
642	67.261	3.979
643	65.859	3.837
645	62.269	3.975
650	60.745	4.324
651	56.892	4.198
653	59.84	3.493
656	44.189	4.143
657	57.09	3.74
658	57.781	3.709
659	56.82	3.611
660	55.396	4.159
661	56.088	3.22
662	57.1	3.704
663	56.609	3.629
664	57.165	3.711
665	57.535	3.462
666	58.051	3.299
667	51.368	3.84
668	51.608	3.722
677	66.554	4.361
678	72.552	4.103
679	71.171	4.87
680	72.951	4.543
681	74.971	4.579
682	76.192	4.603
683	73.255	4.185
684	69.709	4.134
688	67.424	4.021
689	63.547	3.855
690	62.834	3.743
704	73.044	4.281
706	66.547	3.844
708	71.878	4.137
710	73.687	3.947
712	75.898	4.077
714	76.968	4.001
715	69.009	4.082
716	76.952	4.209
717	72.067	4.289
718	75.064	3.934
719	79.681	4.242
720	78.378	4.223
721	74.787	4.339
722	78.563	4.094
723	78.303	4.204
725	70.023	4.272
733	15.864	2.437
734	16.081	2.733
735	18.082	2.298
736	17.28	2.145
737	17.114	2.023
738	15.269	2.145
739	14.142	2.35
740	14.991	2.352
756	17.598	2.644
758	19.259	1.951
759	19.476	2.11
760	19.835	1.964
761	19.872	2.204
762	19.68	1.976
763	19.361	2.06
765	17.382	2.648
768	26.325	2.261
770	25.091	2.635
772	26.709	2.279
774	26.402	2.126
776	27.01	2.212
778	25.419	2.029
779	22.158	2.88
780	26.631	2.18
781	26.085	2.089
782	26.267	2.191
783	27.718	2.004
784	28.106	2.164
785	25.88	2.124
786	27.279	2.269
787	25.193	2.091
789	24.358	2.193
797	38.935	2.558
798	38.506	2.845
799	36.696	2.38
800	36.731	2.714
801	35.524	2.54
802	35.023	2.434
803	33.219	2.741
804	34.3	2.418
820	25.169	3.099
822	30.691	2.83
823	29.661	2.919
824	34.124	2.619
825	29.759	2.731
826	33.049	2.321
827	33.857	2.347
829	33.864	2.565
832	40.059	2.326
833	38.194	2.241
834	38.311	2.412
835	39.402	2.353
837	34.242	2.588
842	37.282	2.256
843	38.777	2.54
845	39.589	2.356
848	36.245	2.541
849	30.543	2.594
850	32.812	2.421
851	34.796	2.47
852	38.542	2.611
853	39.823	2.816
854	36.784	2.621
855	38.209	2.338
856	32.517	2.637
857	38.536	2.266
858	35.61	2.406
859	22.982	2.863
860	34.582	2.523
869	27.493	2.233
870	30.528	2.052
871	29.895	1.975
872	28.536	1.82
873	29.127	1.908
874	27.551	1.924
875	28.635	1.872
876	25.746	2.237
880	39.3	2.182
881	37.742	2.548
882	39.537	2.332
896	25.124	1.916
897	24.756	1.938
898	26.531	2.173
899	27.403	2.126
901	24.532	2.399
906	17.079	1.947
907	18.017	1.826
909	17.007	2.385
912	16.947	2.799
913	26.458	2.117
914	25.578	1.993
915	23.526	1.936
916	23.317	2.623
917	13.729	2.522
918	24.514	2.076
919	17.596	2.662
920	25.228	2.026
921	16.513	2.069
922	17.855	2.084
923	22.571	2.358
924	16.165	2.128
933	23.548	2.682
934	27.32	1.817
935	27.533	1.821
936	27.629	1.777
937	27.191	1.76
938	28.337	1.843
939	27.662	1.829
940	27.006	2.2
944	25.06	2.035
945	19.879	2.878
946	23.98	2.263
960	22.078	2.0
962	22.992	2.209
964	25.617	2.091
966	24.722	1.834
968	22.283	1.808
970	24.06	1.919
